ID	name	boroughID
503	Stachów	23
504	Strachów	23
505	Zarzyca	23
506	¯elowice	23
507	Bartoszowa	24
508	Boguszyce	24
509	Boreczek	24
510	Borek Strzeliñski	24
511	Borów	24
512	Brzezica	24
513	Brzoza	24
514	G³ownin	24
515	Jaksin	24
516	Jelenin	24
517	Kêpino	24
518	Kojêcin	24
519	Krêczków	24
520	Kurczów	24
521	Ludów Œl¹ski	24
522	Mañczyce	24
523	Micha³owice	24
524	Opatowice	24
525	Piotrków Borowski	24
526	Rochowice	24
527	Siemianów	24
528	Stogi	24
529	Suchowice	24
530	Œwiniobród	24
531	Zielenice	24
532	Strzelin	25
533	Bia³y Koœció³	25
534	Biedrzychów	25
535	Bierzyn	25
536	Bro¿ec	25
537	Chociwel	25
538	Czêszyce	25
539	Dankowice	25
540	Dobrogoszcz	25
541	Gêbczyce	25
542	Gêbice	25
543	Gêsiniec	25
544	G³êboka	25
545	Goœciêcice	25
546	Górzec	25
547	Karszów	25
548	Karszówek	25
549	Kazanów	25
550	Krzepice	25
551	Kuropatnik	25
552	Ludów Polski	25
553	Mikoszów	25
554	Muchowiec	25
555	Nieszkowice	25
556	Nowolesie	25
557	Pêcz	25
558	Piotrowice	25
559	P³awna	25
560	Skoroszowice	25
561	Strzegów	25
562	Szczawin	25
563	Szczodrowice	25
564	Trzeœnie	25
565	Warkocz	25
566	W¹wolnica	25
567	¯eleŸnik	25
568	Dêbniki	25
569	Cierpice	26
570	Dobroszów	26
571	Dzierzkowa	26
572	Jagielnica	26
573	Jagielno-Samborowice	26
574	Jeg³owa	26
575	Karnków	26
576	Konary	26
577	Krzywina	26
578	Mi³ocice	26
579	Mników	26
580	Ostrê¿na	26
581	Przeworno	26
582	Romanów-Krasiewice	26
583	Ro¿nów	26
584	Samborowiczki	26
585	Sarby	26
586	Stru¿yna-Kaszówka	26
587	Wi¹zów	27
588	Bry³ów	27
589	Bry³ówek	27
590	Czêstocice	27
591	Gu³ów	27
592	Janowo	27
593	Jaworów	27
594	Jêdrzychowice	27
595	Jutrzyna	27
596	Kalinowa	27
597	K³osów	27
598	Kowalów	27
599	Krajno	27
600	Ksiê¿yce	27
601	Kucharzowice	27
602	Kurów	27
603	£ojowice	27
604	Miechowice O³awskie	27
605	Oœno	27
606	Stary Wi¹zów	27
607	Wawrzêcice	27
608	Wawrzyszów	27
609	Witowice	27
610	Wyszonowice	27
611	Zborowice	27
612	Trzebnica	28
613	Bêdkowo	28
614	Biedaszków Ma³y	28
615	Biedaszków Wielki	28
616	Blizocin	28
617	Brochocin	28
618	Brzezie	28
619	Brzyków	28
620	Cerekwica	28
621	Domanowice	28
622	Droszów	28
623	Janiszów	28
624	Jaszyce	28
625	JaŸwiny	28
626	Kobylice	28
627	Koczurki	28
628	Komorowo	28
629	Komorówko	28
630	Ksiêginice	28
631	KuŸniczysko	28
632	Ligota	28
633	Malczów	28
634	Ma³uszyn	28
